Tokens,Tags,Polarities
"['3', ':', '-', 'التليفزيون', 'اللي', 'بالغرفه', '3', 'او', '4', 'قنوات', 'بس', 'اللي', 'شغالين']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['4', ':', '-', 'اسعار', 'المشروبات', 'الساخنه', 'مثل', 'الشاي', 'و', 'النسكافيه', 'غالي', 'جدا']","[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1]"
"['5', ':', '-', 'اعتقد', 'ان', 'اسعاره', 'غاليه', 'قليلا']","[0, 0, 0, 0, 0, 1, 0, 0]","[-1, -1, -1, -1, -1, 0, -1, -1]"
"['6', ':', '-', 'لا', 'يوجد', 'انترنت']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['اقامه', 'ممتعه']","[1, 0]","[2, -1]"
"['الخدمه', 'جيده', '.', 'الاكل', 'متوسط', 'مع', 'توافر', 'اصناف', 'خاصه', 'و', 'مفاجات']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1]"
"['شاطئ', 'البحر', 'خرافي', 'مع', 'بحيره', 'صناعيه', 'واسماك', 'حولك', 'ورمال', 'ناعمه', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['بار', 'لافيستا', 'جميل', 'في', 'قلب', 'البحر', '.', 'ملاعب', 'اطفال', 'رائعه', 'وركوب', 'الجمل', '.', 'الموظفين', 'غالبا', 'ودودين', 'و', 'مبتسمين', '.']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1]"
"['الغرف', 'متوسطه', 'ولكن', 'مريحه', '.', 'الحديقه', 'متوسط', 'و', 'التشجير', 'ضعيف', 'القيمه', 'مقابل', 'ما', 'تحصل', 'عليه', 'هي', 'صفقه', 'رابحه', 'و', 'ممتعه']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['وكان', 'الجميع', 'جميله', 'ومتعاونه', 'في', 'وخاصه', 'لوك']","[0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1]"
"['الغرف', 'رائعه', ',', 'الكثير', 'من', 'مساحه', 'كبيره', 'بحجم', 'ملكي', ',', 'للتحرك', 'اختر', 'من', 'مقاعد', 'مريحه', 'للجلوس', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['لقد', 'تم', 'تصوير', 'فيلم', 'قصير', 'هنا', ',', 'كانت', 'الغرفه', 'في', 'الطابق', 'الارضي', 'خلف', 'مكتب', 'الاستقبال', 'تفتح', 'علي', 'الفناء', 'الذي', 'كان', 'لطيفا', 'ان', 'الابواب', 'مفتوحه', 'للخروج', ',', 'الجلوس', 'في', 'الشمس', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['موقع', 'رائع', 'من', 'المطاعم', 'والمقاهي', '.', 'ساعود', 'هنا', 'مره', 'اخري', 'اوصي', 'به', 'لاي', 'شخص', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['فندق', 'ممتاز']","[1, 0]","[2, -1]"
"['قضيت', 'الفتره', 'من', '24', '-', '28', '/', '4', 'هناك', 'وكانت', 'الزياره', 'الثالثه', 'المكان', 'جميل', 'جدا']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1]"
"['نظافه', 'وحداثه', 'اثاث', 'الغرفه']","[1, 0, 1, 0]","[2, -1, 2, -1]"
"['انترنت', 'قوي', 'ومجاني', 'مشي', 'للمحطه', '3', 'دقائق', 'مشي', 'للسوق', 'الصيني', '7', 'دقائق', 'من', 'كاونتر', '10', 'حافلات', '–', 'حافله', 'المطار', 'الي', 'محطه', 'السنترال', 'ثم', 'تاكسي', 'الفندق', 'متعاونين', 'تاكسي', 'المحطه', 'الفندق']","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[2, -1, -1, -1, 2, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, 2, -1]"
"['لقد', 'كرهناه', 'ولن', 'نعود', 'ابدا', 'الاستوديوهات', 'بمقاس', 'السرير', 'فقط', '،']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1]"
"['،', 'والحمام', 'غير', 'موجود', '.', 'انه', 'حوض', 'استحمام', 'محاط', 'بالجدران', '.', 'يمكنك', 'الخروج', 'من', 'السرير', 'مباشره', 'الي', 'الحمام', '.', 'المرحاض', 'الذي', 'يمكنك', 'ان', 'تجده', 'في', 'منطقه', 'الحمامات', 'يمكن', 'اغلاقه', 'بباب', 'زجاجي', 'لا', 'ينغلق', 'بالكامل', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['لم', 'يكن', 'المكيف', 'يعمل', '(', '27', 'درجه', 'مئويه', 'في', 'الخارج', ')', 'كان', 'المصعد', 'يعمل', 'فقط', 'في', 'اليوم', 'الاول', 'وليس', 'في', 'الايام', 'الاربعه', 'التاليه', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['فندق', 'رائع', 'بكل', 'المقاييس', 'بل', 'هو', 'افضل', 'فنادق', 'المدينه', 'المنوره', 'علي', 'الاطلاق']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['اولا', 'من', 'لحظه', 'دخولك', 'الفندق', 'كل', 'رخام', 'و', 'شكله', 'رائع', '.', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['ثانيا', 'الاستقبال', 'من', 'الموظفين', 'رائع', 'و', 'الاجراءات', 'تنتهي', 'بسرعه', '.', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1]"
"['الغرفه', 'مميزه', 'و', 'رائعه', '.', '.']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['الخدمه', 'جيده', 'جدا', 'و', 'سريعه', '.', '.']","[1, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1]"
"['الموقع', 'للفندق', 'مميز', 'و', 'الشيء', 'الرائع', 'انه', 'بجوار', 'باب', '25', 'المخصص', 'للحريم', 'و', 'المؤدي', 'للروضه', 'للحريم', '.', '.', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['كانت', 'فتره', 'الاقامه', 'ممتعه', '.', '.']","[0, 0, 1, 0, 0, 0]","[-1, -1, 2, -1, -1, -1]"
"['الفندق', 'قريب', 'جدا', 'من', 'الحرم', 'علي', 'بعد', 'خطوات', 'ليس', 'اكتر', '.', '.', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1]"
"['الموظفين', 'اكتر', 'من', 'رائعين', 'و', 'يلبون', 'الطلبات', 'في', 'الوقت', 'المخصص', 'لها', '.', '.', '.', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['اتمني', 'المزيد', 'من', 'التقدم', 'للعاملين', 'في', 'هدا', 'الفندق', 'الرائع', 'و', 'مزيد', 'من', 'التقدم', 'ان', 'شاء', 'الله', '.', 'و', 'حتما', 'سوف', 'اعود', 'ان', 'شاء', 'الله', '.']","[0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, 2, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['رخيص', 'و', 'نظيف']","[0, 0, 1]","[-1, -1, 2]"
"['انه', 'فندق', 'رخيص', 'في', 'سيوه', '،', 'بعض', 'الغرف', 'بها', 'تلفاز', '(', 'سيكون', 'من', 'حسن', 'الحظ', 'اذا', 'كان', 'يعمل', ')', 'لكن', 'من', 'يحتاج', 'ذلك', '،', 'بعض', 'الغرف', 'بها', 'مكيف', 'هواء', '،', 'لا', 'تتوقع', 'خدمه', 'غرف', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0]","[-1, 2, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 0, 0, -1]"
"['لذا', 'اذا', 'كنت', 'تبحث', 'عن', 'مكان', 'رخيص', 'بالقرب', 'من', 'مركز', 'البلده', 'و', 'نظيف', 'ايضا', '،', 'هذا', 'هو', 'مكانك', '.', 'اذا', 'كنت', 'تحب', 'بعض', 'الرفاهيه', 'اثناء', 'اقامتك', 'فبكل', 'تاكيد', 'ستخيب', 'امالك', 'جدا', 'هناك', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['فندق', 'رائع', 'ولكن', 'الخدمه', 'ضعيفه', 'فندق', 'جميل', 'وخلاب', 'ويقع', 'في', 'وسط', 'المدينه', 'وبناءه', 'جميل', 'وقديم', 'لكن', 'الخدمه', 'ليست', 'بالمستوي', 'المطلوب']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['وفي', 'المطعم', 'لا', 'يتم', 'الاعتناء', 'بنظافه', 'الاطباق', 'وجدت', 'بعض', 'البقع', 'علي', 'طبقي']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['وددت', 'ان', 'انقل', 'صوره', 'عن', 'اقامتي', 'في', 'فندق', 'انتر', 'كونتيننتال', 'الاردن', ',', 'كانت', 'اقامه', 'رائعه', 'ولله', 'الحمد', 'يتميز', 'الفندق', 'بكثر', 'الحركه', 'وكثر', 'السائحين', 'وهذا', 'يعطي', 'انطباعا', 'جيدا', 'عن', 'الفندق', ',']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['زياره', 'القاهره', 'لم', 'افكر', 'كثيرا', 'في', 'هذا', 'الفندق', '.', 'وفضلا', 'عن', 'كونه', 'مريحه', 'الي', 'حد', 'ما', 'بالنسبه', 'لقربه', 'من', 'المطار', 'وانه', 'غير', 'مكلف', '،', 'الا', 'انه', 'كان', 'رتيب', 'جدا', 'وصاخبه', 'جدا', 'بالليل', '،']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['الموسيقي', 'صاخبه', 'جدا', 'من', 'الحاديه', 'عشره', 'مساءا', 'حتي', 'بعد', 'الساعه', 'الثالثه', 'صباحا', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['كان', 'الافطار', 'معقولا', 'ولم', 'اجرب', 'ايه', 'وجبات', 'اخري', '.', 'وكان', 'الموظفون', 'جدا', 'جيدين', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1]"
"['الفندق', 'يقع', 'في', 'اخر', 'ابراج', 'البيت', 'يعني', 'قريب', 'من', 'الحرم', 'والخدمات']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1]"
"['يعيبه', 'قله', 'المصاعد']","[0, 0, 1]","[-1, -1, 0]"
"['ذهبت', 'انا', 'ومجموعه', 'من', 'اصدقائي', 'الي', 'فندق', 'كورال', 'بيتش', 'كل', 'منا', 'معه', 'اسرته', 'واشهد', 'باننا', 'قد', 'قضينا', 'وقت', 'ممتع', 'وسعيد', 'والكل', 'تفاني', 'في', 'خدمتنا', 'ولا', 'توجد', 'تفرقه', 'بين', 'مصري', 'واجنبي', 'وهذا', 'ما', 'اشعرني', 'بالسعاده', 'البالغه']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['ومن', 'هنا', 'بشكر', 'جميع', 'العاملين', 'بالفندق', 'علي', 'حسن', 'المعامله', 'المحترفه', 'المحترمه', 'مقدمه', 'لكم', 'عماد', 'صدقي', 'راشد', 'صدقي', 'عاطف', 'مكرم', 'جمال', 'عويضه']","[0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, 2, 2, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['الغرفه', 'رائعه', 'الاضاءه', 'و', 'الديكور', 'و', 'العزل', 'و', 'صغيره', 'نسبيا']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['الفندق', 'قريب', 'جدا', 'من', 'المسجد', 'النبوي', 'حوالي', 'خمس', 'دقائق', 'مشي', 'في', 'الساحه', 'الاماميه', 'لايوجد', 'اماكن', 'واسعه', 'للجلوس', 'والحديث']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['لن', 'افي', 'هذا', 'الفندق', 'حقه', 'حتي', 'لو', 'قلت', 'انه', 'مريع', '!']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]"
